,Province/State,Country/Region,Date,total_cases
0,,Afghanistan,2020-01-22,0
1,,Albania,2020-01-22,0
2,,Algeria,2020-01-22,0
3,,Andorra,2020-01-22,0
4,,Angola,2020-01-22,0
5,,Antigua and Barbuda,2020-01-22,0
6,,Argentina,2020-01-22,0
7,,Armenia,2020-01-22,0
8,Australian Capital Territory,Australia,2020-01-22,0
9,New South Wales,Australia,2020-01-22,0
10,Northern Territory,Australia,2020-01-22,0
11,Queensland,Australia,2020-01-22,0
12,South Australia,Australia,2020-01-22,0
13,Tasmania,Australia,2020-01-22,0
14,Victoria,Australia,2020-01-22,0
15,Western Australia,Australia,2020-01-22,0
16,,Austria,2020-01-22,0
17,,Azerbaijan,2020-01-22,0
18,,Bahamas,2020-01-22,0
19,,Bahrain,2020-01-22,0
20,,Bangladesh,2020-01-22,0
21,,Barbados,2020-01-22,0
22,,Belarus,2020-01-22,0
23,,Belgium,2020-01-22,0
24,,Benin,2020-01-22,0
25,,Bhutan,2020-01-22,0
26,,Bolivia,2020-01-22,0
27,,Bosnia and Herzegovina,2020-01-22,0
28,,Brazil,2020-01-22,0
29,,Brunei,2020-01-22,0
30,,Bulgaria,2020-01-22,0
31,,Burkina Faso,2020-01-22,0
32,,Cabo Verde,2020-01-22,0
33,,Cambodia,2020-01-22,0
34,,Cameroon,2020-01-22,0
35,Alberta,Canada,2020-01-22,0
36,British Columbia,Canada,2020-01-22,0
37,Grand Princess,Canada,2020-01-22,0
38,Manitoba,Canada,2020-01-22,0
39,New Brunswick,Canada,2020-01-22,0
40,Newfoundland and Labrador,Canada,2020-01-22,0
41,Nova Scotia,Canada,2020-01-22,0
42,Ontario,Canada,2020-01-22,0
43,Prince Edward Island,Canada,2020-01-22,0
44,Quebec,Canada,2020-01-22,0
45,Saskatchewan,Canada,2020-01-22,0
46,,Central African Republic,2020-01-22,0
47,,Chad,2020-01-22,0
48,,Chile,2020-01-22,0
49,Anhui,China,2020-01-22,1
50,Beijing,China,2020-01-22,14
51,Chongqing,China,2020-01-22,6
